snapshot,redshift,subhalo,is_central,group,subhalo_nbh,subhalo_mass_Msun
18,7.005417045544533,0,True,0,60,66022657429.05751
19,6.0107573988449,0,True,0,70,140413183737.0758
19,6.0107573988449,162,True,2,67,95557751005.57019
19,6.0107573988449,354,True,7,52,65884634515.69726
20,4.995933468164624,0,True,0,105,244714294397.53693
20,4.995933468164624,1,False,0,56,114166027086.55681
20,4.995933468164624,165,True,1,103,335992405499.4415
20,4.995933468164624,382,True,3,67,143812467174.78638
20,4.995933468164624,433,True,4,76,142143501909.35202
20,4.995933468164624,532,True,6,55,109155553779.15697
20,4.995933468164624,570,True,7,60,110139059467.62271
20,4.995933468164624,602,True,8,51,103086566770.11723
20,4.995933468164624,788,True,12,54,86190594543.71844
21,4.0079451114652676,0,True,0,151,582241226802.494
21,4.0079451114652676,240,True,1,164,600159599587.0198
21,4.0079451114652676,462,True,2,83,296162847683.1484
21,4.0079451114652676,569,True,3,89,311270254504.4324
21,4.0079451114652676,803,True,5,83,172157284780.71838
21,4.0079451114652676,856,True,6,65,178377745581.4549
21,4.0079451114652676,1022,True,9,57,151539722127.6933
21,4.0079451114652676,1192,True,12,61,127598581242.25499
21,4.0079451114652676,1854,True,26,58,100095866085.98264
22,3.008131071630377,0,True,0,257,1069154459094.5646
22,3.008131071630377,336,True,1,269,1193474716211.3125
22,3.008131071630377,636,True,2,199,827093635663.8721
22,3.008131071630377,827,True,3,74,609944965687.6234
22,3.008131071630377,1025,True,4,103,519322384197.8024
22,3.008131071630377,1250,True,5,75,355443586857.38116
22,3.008131071630377,1472,True,6,114,480831238072.40894
22,3.008131071630377,1804,True,8,84,318011891065.4699
22,3.008131071630377,1908,True,9,73,335355636693.58234
22,3.008131071630377,2113,True,11,63,336485623151.3676
22,3.008131071630377,2198,True,12,66,287761837530.129
22,3.008131071630377,2536,True,16,55,219653026336.8637
22,3.008131071630377,2745,True,19,63,198026394284.18875
23,2.0020281392528516,0,True,0,350,1869441888617.9338
23,2.0020281392528516,391,True,1,363,1772277588647.8179
23,2.0020281392528516,757,True,2,271,1318139203135.9612
23,2.0020281392528516,1015,True,3,148,1220511009837.1616
23,2.0020281392528516,1299,True,4,212,1187600048618.9954
23,2.0020281392528516,1569,True,5,117,886980889731.2239
23,2.0020281392528516,1802,True,6,144,1020605548976.3905
23,2.0020281392528516,2047,True,7,105,873343755462.6058
23,2.0020281392528516,2256,True,8,140,756329001360.6395
23,2.0020281392528516,2473,True,9,86,396756206124.2771
23,2.0020281392528516,2661,True,10,88,671080010554.5479
23,2.0020281392528516,2838,True,11,57,632487792698.324
23,2.0020281392528516,3009,True,12,64,575607676147.5872
23,2.0020281392528516,3156,True,13,128,525500266982.6108
23,2.0020281392528516,3254,True,14,67,506857603132.5575
23,2.0020281392528516,3356,True,15,60,452124781982.53
23,2.0020281392528516,3763,True,19,76,351899315627.423
23,2.0020281392528516,3856,True,20,65,351994584466.2381
23,2.0020281392528516,4115,True,23,51,296340849987.2503
23,2.0020281392528516,4361,True,26,71,233340696470.89694
24,1.4955121664955557,0,True,0,158,1399299014250.226
24,1.4955121664955557,1,False,0,156,536198997018.67914
24,1.4955121664955557,509,True,1,231,1636518535577.3933
24,1.4955121664955557,510,False,1,62,247112747978.87186
24,1.4955121664955557,1004,True,2,394,1957518521659.4668
24,1.4955121664955557,1411,True,3,385,1746623284741.741
24,1.4955121664955557,1782,True,4,171,1332032228040.8289
24,1.4955121664955557,2098,True,5,308,1531909181490.34
24,1.4955121664955557,2399,True,6,90,1175992574425.5718
24,1.4955121664955557,2738,True,7,166,1298852756304.7485
